	GUIDS		|	Iterations
========================|========================
	HOL:2ABS0019	|	1254
	HOL:2ABS0020	|	1254
	HOL:2ABS0156	|	1550
	HOL:2ABS0276	|	2519
	HOL:2ABS0286	|	4157
	HOL:2ABS0341	|	1262
	HOL:2ABS0457	|	1552
	HOL:2ABS0486	|	1926
	HOL:2ABS0800	|	1455
	HOL:2ABS0957	|	1885
	HOL:2ABS1351	|	2446
	HOL:2ABS1378	|	1530
	HOL:2ABS1542	|	1425
	HOL:2ABS1543	|	1885
	HOL:2ABS1547	|	4146
	HOL:2ABS2398	|	1304
	HOL:2ABS2679	|	2342
	HOL:2ABS2871	|	1475
	HOL:2ABS3105	|	1270
	HOL:2ABS3981	|	4893
	HOL:2ACT0138	|	4591
	HOL:2BLS0002	|	1281
	HOL:2BLS0015	|	1729
	HOL:2BLS0025	|	6200
	HOL:2BMR0019	|	1205
	HOL:2BMR0027	|	5267
	HOL:2BMR0077	|	3162
	HOL:2BMR0085	|	1530
	HOL:2BMR0087	|	3156
	HOL:2BMR0098	|	2005
	HOL:2BMR0246	|	1931
	HOL:2BMR0284	|	4211
	HOL:2BMR0293	|	1284
	HOL:2BMR0358	|	2262
	HOL:2BMR0709	|	3464
	HOL:2CAM0057	|	1912
	HOL:2CAM0094	|	1233
	HOL:2CAM0135	|	1274
	HOL:2CAM0181	|	5689
	HOL:2CAM0201	|	1743
	HOL:2CAM0306	|	4926
	HOL:2CAM0449	|	8015
	HOL:2CAM0468	|	4179
	HOL:2CAM0502	|	4510
	HOL:2CAM0519	|	2244
	HOL:2CRK0029	|	4485
	HOL:2CRK0065	|	5758
	HOL:2CRK0127	|	1291
	HOL:2CRK0233	|	5199
	HOL:2CRK0258	|	5901
	HOL:2CRK0259	|	2927
	HOL:2CRK0413	|	3586
	HOL:2CRK0452	|	3291
	HOL:2CRK0632	|	1743
	HOL:2CTS0001	|	24125
	HOL:2CTS0004	|	1807
	HOL:2CTS0006	|	1652
	HOL:2CTS0012	|	6469
	HOL:2CTS0026	|	2295
	HOL:2CTS0039	|	1458
	HOL:2CTS0051	|	2448
	HOL:2CTS0111	|	1523
	HOL:2CTS0146	|	1458
	HOL:2CTS0192	|	9128
	HOL:2CTS0219	|	1203
	HOL:2CTS0220	|	1320
	HOL:2FMS0002	|	3002
	HOL:2FPS0002	|	9154
	HOL:2FPS0003	|	1449
	HOL:2FPS0008	|	1836
	HOL:2FPS0009	|	2387
	HOL:2FPS0010	|	3402
	HOL:2KNC0025	|	5693
	HOL:2KNC0029	|	3464
	HOL:2KNC0031	|	3088
	HOL:2KNC0054	|	1380
	HOL:2KNC0114	|	1672
	HOL:2KNC0130	|	4161
	HOL:2KNC0156	|	4283
	HOL:2KNC0198	|	1979
	HOL:2KNC0213	|	1376
	HOL:2MAP0001	|	11550
	HOL:2MAP0005	|	13381
	HOL:2MAP0006	|	1463
	HOL:2MAP0012	|	4357
	HOL:2MAP3013	|	1257
	HOL:2MAP4002	|	2274
	HOL:2OPS0003	|	2006
	HOL:2OPS0031	|	3906
	HOL:2OPS0034	|	12464
	HOL:2OPS0035	|	9544
	HOL:2OPS0036	|	3418
	HOL:2OTS0002	|	25636
	HOL:2PDC0001	|	2092
	HOL:2TPS0059	|	2651
	HOL:2VSS0001	|	4969
	HOL:2VSS0008	|	1785
	HOL:2VSS0013	|	3144
	HOL:2VSS0042	|	14396
	HOL:2VSS0043	|	9275
	HOL:2VSS0047	|	3766
	HOL:2VSS0052	|	1429
	HOL:2VSS0061	|	1351
	HOL:2VSS0558	|	10082
	HOL:2VSS0560	|	10082
	HOL:2VTS0001	|	1402
	HOL:2VTS0057	|	1903
	HOL:2VTS0059	|	5604
